,Latitude ,Longitude 
vancouver,49.28273,-123.120735
Seatle ,47.606209,-122.332069
Missoula,46.872128,-113.994034
Portland,45.51223,-122.658722
Salt-Lake-City ,40.75848,-111.88814
Sunnyvale,37.368832,-122.036346
Los-Angeles,34.052235,-118.243683
Denver,39.739235,-104.99025
Albuquerque,35.084385,-106.650421
Tucson,32.222607,-110.974709
El-Paso ,31.76011,-106.49229
Houston,29.760427,-95.369804
Dallas,32.776665,-96.796989
Kansas-City,39.09979,-94.57856
Minneapolis,44.977753,-93.265015
Chicago,41.878113,-87.629799
Indianapolis,39.768402,-86.158066
Louisville,38.252666,-85.758453
Nashville,36.162663,-86.781601
Memphis,35.149532,-90.048981
Jacksonville,30.332184,-81.655647
Balton-Rouge,42.886448,-78.878372
Buffalo,30.44332,-91.18749
Cleverland,41.505493,-81.68129
Pittsburgh,40.440624,-79.995888
Ashburn,39.043758,-77.487442
Washington ,47.751076,-120.740135
Raleigh,35.779591,-78.638176
Atlanta,33.748997,-84.387985
Miami ,25.761681,-80.191788
Boston ,42.360081,-71.058884
Jackson,37.223423,-95.706322
Philadelphia,39.952583,-75.165222
New York ,40.712776,-74.005974
